country,AUT,AUT,AUT
2019-Q2,-4.9,87.5,-6.6
2019-Q3,-4.633333,86.5,-4.6
2019-Q4,-7.033333,85.0,-14.4
2020-Q1,-7.6,85.3,-3.7
2020-Q2,-28.9,73.0,-39.7
2020-Q3,-15.63333,77.6,-39.3
2020-Q4,-8.6,82.0,10.3
2021-Q1,-0.9666666,84.0,15.9
2021-Q2,13.53333,86.3,31.3
2021-Q3,14.06667,89.5,42.8
2021-Q4,14.33333,88.5,34.6
2022-Q1,11.9,88.4,23.4
2022-Q2,,89.0,21.2
