country,ITA,ITA
1996-Q3,75.9,-8.7
1996-Q4,74.8,-7.2
1997-Q1,75.3,-8.8
1997-Q2,75.1,-0.1
1997-Q3,76.9,10.8
1997-Q4,77.2,13.9
1998-Q1,77.5,12.5
1998-Q2,77.4,11.3
1998-Q3,77.2,4.7
1998-Q4,77.0,0.7
1999-Q1,76.0,1.3
1999-Q2,75.4,2.6
1999-Q3,76.1,10.0
1999-Q4,77.3,15.1
2000-Q1,77.1,17.1
2000-Q2,78.2,20.8
2000-Q3,78.7,16.1
2000-Q4,78.1,13.8
2001-Q1,78.5,9.5
2001-Q2,78.2,4.6
2001-Q3,77.2,1.2
2001-Q4,76.3,0.5
2002-Q1,74.9,-7.0
2002-Q2,76.1,-2.8
2002-Q3,76.4,-1.1
2002-Q4,75.6,-5.1
2003-Q1,75.4,0.2
2003-Q2,75.3,-7.1
2003-Q3,76.7,-7.8
2003-Q4,75.4,-5.5
2004-Q1,75.8,-1.6
2004-Q2,76.1,2.6
2004-Q3,76.3,3.8
2004-Q4,76.2,1.4
2005-Q1,75.8,-1.5
2005-Q2,75.3,-7.0
2005-Q3,75.3,-4.5
2005-Q4,75.8,0.4
2006-Q1,76.1,6.4
2006-Q2,77.1,13.5
2006-Q3,78.1,15.2
2006-Q4,77.1,13.4
2007-Q1,77.1,11.9
2007-Q2,78.4,12.9
2007-Q3,78.4,9.5
2007-Q4,77.3,7.9
2008-Q1,76.5,4.5
2008-Q2,76.2,-4.4
2008-Q3,76.6,-12.5
2008-Q4,75.1,-17.9
2009-Q1,69.3,-54.7
2009-Q2,65.1,-51.7
2009-Q3,65.3,-39.4
2009-Q4,65.2,-26.6
2010-Q1,65.7,-17.1
2010-Q2,68.9,2.0
2010-Q3,71.7,9.8
2010-Q4,72.8,8.9
2011-Q1,73.4,10.8
2011-Q2,74.6,6.7
2011-Q3,73.7,-1.6
2011-Q4,73.0,-8.9
2012-Q1,72.0,-16.2
2012-Q2,72.0,-20.3
2012-Q3,71.7,-24.1
2012-Q4,71.2,-20.5
2013-Q1,69.9,-19.9
2013-Q2,69.5,-18.7
2013-Q3,73.8,-7.1
2013-Q4,74.7,-1.6
2014-Q1,73.5,1.4
2014-Q2,73.2,2.0
2014-Q3,73.8,-0.2
2014-Q4,74.1,-3.1
2015-Q1,73.9,-0.1
2015-Q2,75.6,5.0
2015-Q3,75.9,6.6
2015-Q4,76.4,7.4
2016-Q1,76.4,5.4
2016-Q2,75.9,3.2
2016-Q3,76.2,2.3
2016-Q4,76.2,4.1
2017-Q1,76.3,6.7
2017-Q2,75.8,10.5
2017-Q3,77.3,12.2
2017-Q4,78.2,13.6
2018-Q1,78.3,14.9
2018-Q2,77.7,10.8
2018-Q3,77.8,7.0
2018-Q4,78.1,1.9
2019-Q1,78.4,-1.6
2019-Q2,77.0,-3.7
2019-Q3,77.0,-5.7
2019-Q4,77.3,-6.2
2020-Q1,76.6,-4.8
2020-Q3,63.6,-57.1
2020-Q4,73.1,-5.3
2021-Q1,74.7,0.8
2021-Q2,75.5,10.8
2021-Q3,77.5,21.1
2021-Q4,78.2,22.1
2022-Q1,78.4,20.9
2022-Q2,78.8,13.0
2022-Q3,78.4,6.1
2022-Q4,77.9,-1.2
2023-Q1,77.4,-2.8
2023-Q2,77.4,-3.7
2023-Q3,77.0,-7.1
