country,AUT,AUT,AUT
2019-Q2,-4.433333,87.2,-6.1
2019-Q3,-5.4,86.7,-3.7
2019-Q4,-9.066667,85.3,-15.7
2020-Q1,-8.766666,84.8,-9.4
2020-Q2,-26.03333,73.9,-35.3
2020-Q3,-17.26667,77.2,-37.3
2020-Q4,-12.36667,80.8,3.1
2021-Q1,-4.166667,82.2,6.3
2021-Q2,15.63333,87.1,36.6
2021-Q3,15.46667,89.7,50.7
2021-Q4,15.23333,88.5,35.5
2022-Q1,,88.2,21.9
